warehouseId;aisle;bay;capacityBoxes
W1;1;1;12
W1;1;2;10
W1;1;3;12
W1;1;4;15
W1;1;5;10
W1;1;6;10
W1;1;7;15
W1;1;8;10
W1;1;9;12
W1;1;10;15
W1;1;11;10
W1;1;12;15
W1;1;13;10
W1;1;14;10
W1;1;15;10
W1;1;16;12
W1;1;17;12
W1;1;18;10
W1;1;19;10
W1;1;20;10
W1;2;1;15
W1;2;2;12
W1;2;3;10
W1;2;4;15
W1;2;5;10
W1;2;6;10
W1;2;7;15
W1;2;8;15
W1;2;9;15
W1;2;10;10
W1;2;11;15
W1;2;12;15
W1;2;13;12
W1;2;14;10
W1;2;15;10
W1;2;16;10
W1;2;17;15
W1;2;18;10
W1;2;19;12
W1;2;20;12
W1;3;1;10
W1;3;2;15
W1;3;3;10
W1;3;4;15
W1;3;5;12
W1;3;6;15
W1;3;7;15
W1;3;8;10
W1;3;9;10
W1;3;10;15
W1;3;11;15
W1;3;12;15
W1;3;13;10
W1;3;14;12
W1;3;15;10
W1;3;16;15
W1;3;17;15
W1;3;18;10
W1;3;19;15
W1;3;20;10
W1;4;1;15
W1;4;2;10
W1;4;3;12
W1;4;4;15
W1;4;5;15
W1;4;6;12
W1;4;7;12
W1;4;8;12
W1;4;9;15
W1;4;10;12
W1;4;11;12
W1;4;12;12
W1;4;13;10
W1;4;14;10
W1;4;15;15
W1;4;16;10
W1;4;17;10
W1;4;18;15
W1;4;19;12
W1;4;20;15
W1;5;1;12
W1;5;2;12
W1;5;3;15
W1;5;4;12
W1;5;5;12
W1;5;6;15
W1;5;7;10
W1;5;8;10
W1;5;9;15
W1;5;10;12
W1;5;11;10
W1;5;12;12
W1;5;13;10
W1;5;14;12
W1;5;15;12
W1;5;16;10
W1;5;17;15
W1;5;18;10
W1;5;19;15
W1;5;20;15
